image_id,abs_image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Green_g,Dry_Dead_g,Dry_Clover_g,GDM_g,Dry_Total_g
ID1113121340,../../csiro-biomass/train/ID1113121340.jpg,2015/9/30,Vic,Phalaris_Clover,0.8,16.0,82.6598,11.6271,0.2931,82.9529,94.58
ID1113329413,../../csiro-biomass/train/ID1113329413.jpg,2015/6/29,Tas,WhiteClover,0.72,3.0,1.3768,21.1112,20.6523,22.0291,43.1403
ID1119739385,../../csiro-biomass/train/ID1119739385.jpg,2015/5/18,Tas,Ryegrass,0.28,4.0,6.8,3.0,0.0,6.8,9.8
ID1119761112,../../csiro-biomass/train/ID1119761112.jpg,2015/5/7,NSW,Fescue,0.42,4.0,22.9514,32.4486,0.0,22.9514,55.4
ID1121692672,../../csiro-biomass/train/ID1121692672.jpg,2015/2/24,NSW,Phalaris,0.52,38.0,109.8042,1.3958,0.0,109.8042,111.2
ID1127246618,../../csiro-biomass/train/ID1127246618.jpg,2015/5/18,Tas,Ryegrass,0.77,7.0,32.3529,25.8824,3.0196,35.3725,61.2549
ID112966473,../../csiro-biomass/train/ID112966473.jpg,2015/8/14,Vic,Ryegrass_Clover,0.74,3.0,19.6,2.8,11.2,30.8,33.6
ID1131079710,../../csiro-biomass/train/ID1131079710.jpg,2015/11/9,Tas,Clover,0.57,1.5,1.5261,11.119,15.4794,17.0055,28.1246
ID1136169672,../../csiro-biomass/train/ID1136169672.jpg,2015/5/18,Tas,Ryegrass,0.62,5.0,16.3107,6.808,0.0,16.3108,23.1187
ID1139866256,../../csiro-biomass/train/ID1139866256.jpg,2015/5/7,NSW,Fescue,0.66,13.0,74.0593,83.8407,0.0,74.0593,157.9
ID1139918758,../../csiro-biomass/train/ID1139918758.jpg,2015/8/21,WA,Clover,0.79,3.0,0.0,0.0,58.34,58.34,58.34
ID1140993511,../../csiro-biomass/train/ID1140993511.jpg,2015/8/14,Vic,Ryegrass_Clover,0.71,2.0,16.1,2.3,4.6,20.7,23.0
ID1148528732,../../csiro-biomass/train/ID1148528732.jpg,2015/8/18,Vic,Phalaris_Clover,0.86,3.2,28.0887,0.0,12.4113,40.5,40.5
ID1148666289,../../csiro-biomass/train/ID1148666289.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.81,3.5,21.4846,14.3231,4.0923,25.5769,39.9
ID1149598723,../../csiro-biomass/train/ID1149598723.jpg,2015/5/7,NSW,Lucerne,0.87,43.0,58.3169,5.3831,0.0,58.3169,63.7
ID1159071020,../../csiro-biomass/train/ID1159071020.jpg,2015/9/30,Vic,Phalaris_Clover,0.74,7.0,46.5727,6.7982,1.3191,47.8918,54.69
ID1163061745,../../csiro-biomass/train/ID1163061745.jpg,2015/6/29,Tas,WhiteClover,0.5,2.0,1.2,6.7,5.2,6.4,13.1
ID1168534540,../../csiro-biomass/train/ID1168534540.jpg,2015/5/7,NSW,Fescue,0.86,9.0,55.6108,8.6892,0.0,55.6108,64.3
ID1176292407,../../csiro-biomass/train/ID1176292407.jpg,2015/6/26,Tas,Ryegrass_Clover,0.5,3.0,9.022,16.7365,0.1308,9.1528,25.8893
ID1182523622,../../csiro-biomass/train/ID1182523622.jpg,2015/6/29,Tas,WhiteClover,0.48,2.0,0.6752,14.7193,3.1059,3.7811,18.5004
ID1183807388,../../csiro-biomass/train/ID1183807388.jpg,2015/7/1,Tas,Ryegrass,0.7,5.0,20.9156,20.9156,0.0,20.9156,41.8312
ID1193692654,../../csiro-biomass/train/ID1193692654.jpg,2015/9/11,Tas,Ryegrass,0.69,3.1667,13.4232,6.3317,0.2727,13.6959,20.0276
ID1199150612,../../csiro-biomass/train/ID1199150612.jpg,2015/11/10,Tas,Ryegrass_Clover,0.62,5.5,27.0146,40.7019,0.3602,27.3748,68.0767
ID1208644039,../../csiro-biomass/train/ID1208644039.jpg,2015/7/1,Vic,Phalaris_Clover,0.79,5.0,31.0,7.75,1.55,32.55,40.3
ID1211362607,../../csiro-biomass/train/ID1211362607.jpg,2015/2/24,NSW,Ryegrass,0.58,7.0,66.5554,1.3446,0.0,66.5554,67.9
ID121331988,../../csiro-biomass/train/ID121331988.jpg,2015/5/7,NSW,Fescue,0.75,8.0,63.15,21.05,0.0,63.15,84.2
ID1215977190,../../csiro-biomass/train/ID1215977190.jpg,2015/5/18,Tas,Ryegrass,0.74,5.0,30.1002,24.8123,0.4068,30.507,55.3193
ID1217108125,../../csiro-biomass/train/ID1217108125.jpg,2015/6/29,Tas,WhiteClover,0.62,2.0,0.6811,8.0594,5.9027,6.5838,14.6432
ID1237349078,../../csiro-biomass/train/ID1237349078.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.38,2.5,9.39,26.221,3.189,12.579,38.8
ID12390962,../../csiro-biomass/train/ID12390962.jpg,2015/5/18,Tas,Ryegrass,0.56,5.0,14.0,15.2,0.0,14.0,29.2
ID1244346858,../../csiro-biomass/train/ID1244346858.jpg,2015/10/6,NSW,Fescue,0.45,12.3333,49.2657,30.9343,0.0,49.2657,80.2
ID1249094008,../../csiro-biomass/train/ID1249094008.jpg,2015/6/26,Vic,Ryegrass,0.71,4.0,4.5809,16.3603,0.0,4.5809,20.9412
ID1251029854,../../csiro-biomass/train/ID1251029854.jpg,2015/5/7,NSW,Fescue,0.55,5.0,36.8125,22.0875,0.0,36.8125,58.9
ID1254829053,../../csiro-biomass/train/ID1254829053.jpg,2015/6/26,Vic,Ryegrass,0.69,4.5,4.2568,10.2162,0.0,4.2568,14.473
ID1268934251,../../csiro-biomass/train/ID1268934251.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.42,3.3,17.2131,24.7869,0.0,17.2131,42.0
ID1275072698,../../csiro-biomass/train/ID1275072698.jpg,2015/1/15,NSW,Lucerne,0.74,42.0,62.0,2.5,0.0,62.0,64.5
ID1277756619,../../csiro-biomass/train/ID1277756619.jpg,2015/7/1,Tas,Ryegrass,0.4,3.0,6.0,3.2,0.0,6.0,9.2
ID1291116815,../../csiro-biomass/train/ID1291116815.jpg,2015/7/2,Vic,Ryegrass_Clover,0.76,3.0,19.84,3.72,1.24,21.08,24.8
ID1294770420,../../csiro-biomass/train/ID1294770420.jpg,2015/11/9,Tas,Ryegrass_Clover,0.59,3.3333,14.6004,36.1534,17.3814,31.9818,68.1352
ID1314135397,../../csiro-biomass/train/ID1314135397.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.75,6.0,28.0322,16.6678,0.0,28.0322,44.7
ID13162390,../../csiro-biomass/train/ID13162390.jpg,2015/8/14,Vic,Ryegrass_Clover,0.74,3.0,20.0667,2.8667,2.8667,22.9333,25.8
ID1337107565,../../csiro-biomass/train/ID1337107565.jpg,2015/8/21,WA,Clover,0.39,1.0,0.0,0.0,10.04,10.04,10.04
ID1343327476,../../csiro-biomass/train/ID1343327476.jpg,2015/8/14,Vic,Phalaris_Clover,0.71,5.0,37.7143,3.1429,3.1429,40.8571,44.0
ID1345375788,../../csiro-biomass/train/ID1345375788.jpg,2015/6/26,Tas,Ryegrass_Clover,0.6,3.0,8.7127,7.7226,2.3762,11.0889,18.8115
ID135365668,../../csiro-biomass/train/ID135365668.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.74,3.0,17.3333,1.8667,2.4,19.7333,21.6
ID1354190372,../../csiro-biomass/train/ID1354190372.jpg,2015/11/10,Tas,Ryegrass_Clover,0.67,3.0,10.6039,6.5255,11.2565,21.8604,28.3859
ID1357758282,../../csiro-biomass/train/ID1357758282.jpg,2015/1/15,NSW,Lucerne,0.77,62.0,107.3,4.8,0.0,107.3,112.1
ID1357768767,../../csiro-biomass/train/ID1357768767.jpg,2015/2/25,NSW,Fescue,0.68,15.0,104.1503,5.4497,0.0,104.1503,109.6
ID1370004842,../../csiro-biomass/train/ID1370004842.jpg,2015/10/6,NSW,Fescue,0.55,9.6667,55.8014,21.9986,0.0,55.8014,77.8
ID1374789439,../../csiro-biomass/train/ID1374789439.jpg,2015/7/1,Vic,Phalaris_Clover,0.74,4.0,21.6889,1.3556,1.3556,23.0444,24.4
ID1385921939,../../csiro-biomass/train/ID1385921939.jpg,2015/5/7,NSW,Lucerne,0.79,32.0,43.6757,6.8243,0.0,43.6757,50.5
ID1386202352,../../csiro-biomass/train/ID1386202352.jpg,2015/5/19,Tas,Ryegrass_Clover,0.86,5.0,35.0834,12.1549,0.0,35.0834,47.2383
ID1395011773,../../csiro-biomass/train/ID1395011773.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.52,3.2,13.8438,11.9667,10.0895,23.9333,35.9
ID1403078396,../../csiro-biomass/train/ID1403078396.jpg,2015/9/4,Tas,Clover,0.42,2.3333,1.5,8.3,5.3,6.8,15.1
ID1403107574,../../csiro-biomass/train/ID1403107574.jpg,2015/8/21,WA,Clover,0.54,1.0,0.0,0.0,22.69,22.69,22.69
ID1411613934,../../csiro-biomass/train/ID1411613934.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.49,3.3,16.8777,17.8286,6.8937,23.7714,41.6
ID141370843,../../csiro-biomass/train/ID141370843.jpg,2015/8/14,Vic,Ryegrass_Clover,0.72,4.0,19.6636,5.6182,5.6182,25.2818,30.9
ID1413758094,../../csiro-biomass/train/ID1413758094.jpg,2015/9/4,Tas,Ryegrass_Clover,0.54,5.0,17.5601,46.0532,0.8746,18.4347,64.4879
ID1414371018,../../csiro-biomass/train/ID1414371018.jpg,2015/11/10,Tas,Ryegrass_Clover,0.72,3.1667,12.3801,6.1901,14.7281,27.1082,33.2982
ID1415329644,../../csiro-biomass/train/ID1415329644.jpg,2015/4/1,NSW,Lucerne,0.83,38.0,63.3,0.0,0.0,63.3,63.3
ID1421714468,../../csiro-biomass/train/ID1421714468.jpg,2015/9/4,Tas,Ryegrass_Clover,0.85,4.5,26.6001,36.581,0.0,26.6,63.1811
ID142751858,../../csiro-biomass/train/ID142751858.jpg,2015/9/29,Vic,Ryegrass_Clover,0.81,5.0,33.2077,2.417,15.3953,48.603,51.02
ID1428837636,../../csiro-biomass/train/ID1428837636.jpg,2015/6/29,Tas,WhiteClover,0.7,3.0,3.8871,19.1366,10.1663,14.0535,33.1901
ID1437386574,../../csiro-biomass/train/ID1437386574.jpg,2015/9/30,Vic,Phalaris_Clover,0.75,6.0,44.1677,3.7122,5.0001,49.1678,52.88
ID1444674500,../../csiro-biomass/train/ID1444674500.jpg,2015/7/8,WA,Clover,0.43,1.0,3.5,0.0,11.64,15.14,15.14
ID1450399782,../../csiro-biomass/train/ID1450399782.jpg,2015/9/11,Tas,Ryegrass,0.86,5.8333,38.202,19.082,0.1901,38.3921,57.4741
ID1451025862,../../csiro-biomass/train/ID1451025862.jpg,2015/11/10,Tas,Ryegrass_Clover,0.53,2.8333,6.9,4.3,5.3,12.2,16.5
ID1456861072,../../csiro-biomass/train/ID1456861072.jpg,2015/6/26,Tas,Ryegrass_Clover,0.37,1.0,1.0,6.0,0.4,1.4,7.4
ID1457700382,../../csiro-biomass/train/ID1457700382.jpg,2015/4/1,NSW,Lucerne,0.7,30.0,24.8,0.0,0.0,24.8,24.8
ID1458758610,../../csiro-biomass/train/ID1458758610.jpg,2015/10/6,NSW,Fescue,0.49,9.3333,52.4745,50.2255,0.0,52.4745,102.7
ID1463690813,../../csiro-biomass/train/ID1463690813.jpg,2015/4/1,NSW,Lucerne,0.84,35.0,58.2,0.0,0.0,58.2,58.2
ID146920896,../../csiro-biomass/train/ID146920896.jpg,2015/5/19,Tas,Ryegrass_Clover,0.36,2.0,6.6,0.4,0.5,7.1,7.5
ID1471216911,../../csiro-biomass/train/ID1471216911.jpg,2015/9/30,Vic,Phalaris_Clover,0.85,16.0,28.8667,11.4857,67.8977,96.7643,108.25
ID1472525822,../../csiro-biomass/train/ID1472525822.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.7,7.0,30.3109,16.4891,0.0,30.3109,46.8
ID1473228876,../../csiro-biomass/train/ID1473228876.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.72,8.0,28.0865,10.0135,0.0,28.0865,38.1
ID1474775613,../../csiro-biomass/train/ID1474775613.jpg,2015/5/18,Tas,Ryegrass,0.86,10.0,44.3447,5.3604,0.0,44.3447,49.7051
ID147528735,../../csiro-biomass/train/ID147528735.jpg,2015/1/15,NSW,Lucerne,0.74,52.0,53.5,3.0,0.0,53.5,56.5
ID1476045099,../../csiro-biomass/train/ID1476045099.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,20.3333,3.3889,6.7778,27.1111,30.5
ID1477176296,../../csiro-biomass/train/ID1477176296.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,20.1385,1.8308,1.8308,21.9692,23.8
ID1488408526,../../csiro-biomass/train/ID1488408526.jpg,2015/2/25,NSW,Fescue,0.48,6.0,28.5031,9.8969,0.0,28.5031,38.4
ID1496750796,../../csiro-biomass/train/ID1496750796.jpg,2015/8/14,Vic,Ryegrass_Clover,0.68,2.0,12.4091,5.3182,1.7727,14.1818,19.5
ID1498398599,../../csiro-biomass/train/ID1498398599.jpg,2015/9/4,Tas,Clover,0.36,2.1667,1.2834,5.6471,11.0375,12.321,17.9681
ID1509266870,../../csiro-biomass/train/ID1509266870.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,4.0,27.75,2.775,2.775,30.525,33.3
ID1510574031,../../csiro-biomass/train/ID1510574031.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.51,5.1667,19.4992,14.4672,7.2336,26.7328,41.2
ID1512751450,../../csiro-biomass/train/ID1512751450.jpg,2015/9/11,Tas,Ryegrass,0.77,3.8333,19.656,9.6678,0.3786,20.0346,29.7024
ID1513184765,../../csiro-biomass/train/ID1513184765.jpg,2015/6/26,Tas,Ryegrass_Clover,0.41,1.0,6.1574,5.0118,0.0,6.1574,11.1692
ID1515990019,../../csiro-biomass/train/ID1515990019.jpg,2015/9/3,Tas,Ryegrass_Clover,0.41,2.1667,11.9,1.3,0.0,11.9,13.2
ID1516374298,../../csiro-biomass/train/ID1516374298.jpg,2015/7/8,WA,Clover,0.3,1.0,1.7,0.0,9.0,10.7,10.7
ID152157478,../../csiro-biomass/train/ID152157478.jpg,2015/9/29,Vic,Ryegrass_Clover,0.84,17.0,64.3724,7.9034,35.1643,99.5366,107.44
ID1525817840,../../csiro-biomass/train/ID1525817840.jpg,2015/8/18,Vic,Phalaris_Clover,0.72,3.8,20.0667,32.3656,7.7677,27.8344,60.2
ID1540480250,../../csiro-biomass/train/ID1540480250.jpg,2015/2/24,NSW,Phalaris,0.58,20.0,116.7515,3.6485,0.0,116.7515,120.4
ID1545077474,../../csiro-biomass/train/ID1545077474.jpg,2015/11/9,Tas,Ryegrass_Clover,0.4,3.5,8.8,19.2,0.0,8.8,28.0
ID1547945326,../../csiro-biomass/train/ID1547945326.jpg,2015/9/3,Tas,Ryegrass_Clover,0.74,2.1667,10.7156,4.2493,6.2816,16.9972,21.2465
ID1559189397,../../csiro-biomass/train/ID1559189397.jpg,2015/5/7,NSW,Lucerne,0.56,23.0,22.4195,1.0805,0.0,22.4195,23.5
ID1563418511,../../csiro-biomass/train/ID1563418511.jpg,2015/2/24,NSW,Phalaris,0.7,34.0,107.1096,4.5904,0.0,107.1096,111.7
ID1570190541,../../csiro-biomass/train/ID1570190541.jpg,2015/11/9,Tas,Clover,0.55,2.3333,0.1568,7.8376,16.6157,16.7724,24.61
ID1573329652,../../csiro-biomass/train/ID1573329652.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.61,6.0,22.2985,19.2015,0.0,22.2985,41.5
ID1574125908,../../csiro-biomass/train/ID1574125908.jpg,2015/2/24,NSW,Ryegrass,0.42,7.0,43.1621,3.5379,0.0,43.1621,46.7
ID157479394,../../csiro-biomass/train/ID157479394.jpg,2015/2/24,NSW,Phalaris,0.69,37.0,129.3421,4.8579,0.0,129.3421,134.2
ID1579942839,../../csiro-biomass/train/ID1579942839.jpg,2015/9/4,Tas,Clover,0.66,2.5,3.3327,2.6661,14.886,18.2186,20.8848
ID158170916,../../csiro-biomass/train/ID158170916.jpg,2015/11/10,Tas,Ryegrass_Clover,0.91,8.8333,69.6107,33.0205,5.3547,74.9654,107.9859
ID1590632667,../../csiro-biomass/train/ID1590632667.jpg,2015/11/9,Tas,Ryegrass_Clover,0.7,3.8333,31.2284,24.2887,3.1807,34.4091,58.6978
ID1618145129,../../csiro-biomass/train/ID1618145129.jpg,2015/11/10,Tas,Ryegrass_Clover,0.84,4.1667,37.1257,10.3826,0.0,37.1257,47.5083
ID1618597318,../../csiro-biomass/train/ID1618597318.jpg,2015/9/3,Tas,Ryegrass_Clover,0.65,2.1667,33.0259,2.239,1.1195,34.1454,36.3845
ID1620371305,../../csiro-biomass/train/ID1620371305.jpg,2015/9/30,Vic,Phalaris_Clover,0.79,10.0,57.0895,6.4092,17.0913,74.1808,80.59
ID162394992,../../csiro-biomass/train/ID162394992.jpg,2015/2/24,NSW,Ryegrass,0.61,9.0,47.2541,1.8459,0.0,47.2541,49.1
ID1623964968,../../csiro-biomass/train/ID1623964968.jpg,2015/11/9,Tas,Ryegrass_Clover,0.44,2.3333,19.5439,21.4983,10.0977,29.6415,51.1398
ID1624268863,../../csiro-biomass/train/ID1624268863.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.56,4.0,22.932,10.168,0.0,22.932,33.1
ID1634731537,../../csiro-biomass/train/ID1634731537.jpg,2015/11/9,Tas,Clover,0.64,3.3333,0.0,6.8619,19.9619,19.9619,26.8238
ID1638922597,../../csiro-biomass/train/ID1638922597.jpg,2015/6/29,Tas,WhiteClover,0.65,3.0,0.2772,21.3479,10.5353,10.8126,32.1605
ID1645161155,../../csiro-biomass/train/ID1645161155.jpg,2015/9/4,Tas,Ryegrass_Clover,0.7,4.5,19.0515,40.6841,0.0,19.0516,59.7356
ID1655778545,../../csiro-biomass/train/ID1655778545.jpg,2015/5/7,NSW,Fescue,0.62,5.0,30.6643,17.0357,0.0,30.6643,47.7
ID1665142816,../../csiro-biomass/train/ID1665142816.jpg,2015/7/1,Vic,Phalaris_Clover,0.73,4.0,24.5143,4.7143,3.7714,28.2857,33.0
ID1667778338,../../csiro-biomass/train/ID1667778338.jpg,2015/8/14,Vic,Ryegrass_Clover,0.77,5.0,29.25,9.75,3.9,33.15,42.9
ID1671844336,../../csiro-biomass/train/ID1671844336.jpg,2015/6/26,Tas,Ryegrass_Clover,0.68,3.0,12.0354,8.4248,0.8024,12.8377,21.2625
ID1675365449,../../csiro-biomass/train/ID1675365449.jpg,2015/9/30,Vic,Phalaris_Clover,0.79,16.0,89.7395,12.2372,1.4833,91.2228,103.46
ID1680597197,../../csiro-biomass/train/ID1680597197.jpg,2015/2/25,NSW,Fescue,0.69,12.0,84.1829,8.6171,0.0,84.1829,92.8
ID1692894460,../../csiro-biomass/train/ID1692894460.jpg,2015/11/9,Tas,Clover,0.69,3.5,0.3143,14.7741,30.1768,30.4912,45.2652
ID1693880739,../../csiro-biomass/train/ID1693880739.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.85,4.0,30.4615,4.7385,0.0,30.4615,35.2
ID1703304524,../../csiro-biomass/train/ID1703304524.jpg,2015/11/10,Tas,Ryegrass_Clover,0.86,7.0,47.7689,46.4778,2.5821,50.351,96.8288
ID1717006117,../../csiro-biomass/train/ID1717006117.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.57,6.1667,32.8735,18.9135,18.0129,50.8865,69.8
ID1729002155,../../csiro-biomass/train/ID1729002155.jpg,2015/10/6,NSW,Fescue,0.34,5.6667,19.8538,20.7462,0.0,19.8538,40.6
ID1746343319,../../csiro-biomass/train/ID1746343319.jpg,2015/11/9,Tas,Ryegrass_Clover,0.35,2.5,6.9,18.0,0.6,7.5,25.5
ID1753847361,../../csiro-biomass/train/ID1753847361.jpg,2015/9/30,Vic,Phalaris_Clover,0.83,17.0,51.2725,3.5437,34.9938,86.2663,89.81
ID1761544403,../../csiro-biomass/train/ID1761544403.jpg,2015/8/21,WA,Clover,0.54,1.0,0.0,0.0,32.64,32.64,32.64
ID1781353117,../../csiro-biomass/train/ID1781353117.jpg,2015/5/18,Tas,Ryegrass,0.69,4.0,15.185,11.0291,1.7583,16.9433,27.9724
ID1782509721,../../csiro-biomass/train/ID1782509721.jpg,2015/10/6,NSW,Fescue,0.39,8.0,30.1374,26.2626,0.0,30.1374,56.4
ID1782608354,../../csiro-biomass/train/ID1782608354.jpg,2015/9/1,WA,Ryegrass,0.81,17.0,72.1,0.0,0.07,72.17,72.17
ID1783499590,../../csiro-biomass/train/ID1783499590.jpg,2015/6/26,Vic,Ryegrass,0.8,5.5,13.6615,18.2154,1.1385,14.8,33.0154
ID1784585001,../../csiro-biomass/train/ID1784585001.jpg,2015/11/9,Tas,Clover,0.8,4.5,3.788,12.3111,35.0394,38.8275,51.1386
ID1789265307,../../csiro-biomass/train/ID1789265307.jpg,2015/11/9,Tas,Clover,0.87,7.1667,1.0751,19.3509,69.8783,70.9533,90.3042
ID1789834546,../../csiro-biomass/train/ID1789834546.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.52,4.1667,21.4,14.8756,6.5244,27.9244,42.8
ID1789853061,../../csiro-biomass/train/ID1789853061.jpg,2015/8/18,Vic,Phalaris_Clover,0.87,5.2,36.6302,7.5415,12.9283,49.5585,57.1
ID1831254380,../../csiro-biomass/train/ID1831254380.jpg,2015/11/9,Tas,Clover,0.84,5.3333,0.8754,15.758,71.7865,72.662,88.42
ID1839139621,../../csiro-biomass/train/ID1839139621.jpg,2015/5/18,Tas,Ryegrass,0.8,8.0,31.5263,10.3894,0.0,31.5264,41.9157
ID1853508321,../../csiro-biomass/train/ID1853508321.jpg,2015/9/3,Tas,Ryegrass_Clover,0.45,1.6667,28.5232,1.1786,0.0,28.5232,29.7018
ID1857489997,../../csiro-biomass/train/ID1857489997.jpg,2015/7/1,Vic,Phalaris_Clover,0.66,3.0,13.3043,2.3478,2.3478,15.6522,18.0
ID1859251563,../../csiro-biomass/train/ID1859251563.jpg,2015/1/15,NSW,Lucerne,0.83,70.0,119.6,6.9,0.0,119.6,126.5
ID1859792585,../../csiro-biomass/train/ID1859792585.jpg,2015/5/18,Tas,Ryegrass,0.62,4.0,22.6087,30.83,0.7708,23.3794,54.2095
ID1868719645,../../csiro-biomass/train/ID1868719645.jpg,2015/7/2,Vic,Ryegrass_Clover,0.77,4.0,20.5478,2.4174,4.8348,25.3826,27.8
ID187238869,../../csiro-biomass/train/ID187238869.jpg,2015/9/29,Vic,Ryegrass_Clover,0.75,4.0,28.9098,2.972,11.8881,40.798,43.77
ID1874904894,../../csiro-biomass/train/ID1874904894.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.3,3.0,4.1458,29.1542,0.0,4.1458,33.3
ID1876271942,../../csiro-biomass/train/ID1876271942.jpg,2015/2/24,NSW,Ryegrass,0.68,10.0,47.9386,8.3614,0.0,47.9386,56.3
ID1880764911,../../csiro-biomass/train/ID1880764911.jpg,2015/5/18,Tas,Ryegrass,0.52,5.0,15.1546,21.9343,5.9821,21.1367,43.0709
ID1888700589,../../csiro-biomass/train/ID1888700589.jpg,2015/7/8,WA,Clover,0.64,2.0,20.9,0.0,1.62,22.52,22.52
ID1889150649,../../csiro-biomass/train/ID1889150649.jpg,2015/9/1,WA,SubcloverLosa,0.32,1.0,0.0,0.0,2.48,2.48,2.48
ID1894998379,../../csiro-biomass/train/ID1894998379.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.42,4.3,8.4236,35.0985,13.4778,21.9015,57.0
ID1899025384,../../csiro-biomass/train/ID1899025384.jpg,2015/6/26,Tas,Ryegrass_Clover,0.7,4.0,11.1604,8.6803,0.4133,11.5737,20.254
ID1920959057,../../csiro-biomass/train/ID1920959057.jpg,2015/7/2,Vic,Ryegrass_Clover,0.74,3.0,12.4667,2.6714,3.5619,16.0286,18.7
